종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","47000","500","1.08","2.8057978E8"
"000660","SK하이닉스","69500","-700","-1.00","5.0596164E7"
"005380","현대차","140000","-500","-0.36","2.9913546E7"
"068270","셀트리온","205500","1500","0.74","2.6371624E7"
"051910","LG화학","354500","5000","1.43","2.5024986E7"
"012330","현대모비스","235500","0","0.00","2.2444726E7"
"055550","신한지주","44900","-250","-0.55","2.1291561E7"
"005490","POSCO","244500","0","0.00","2.1317181E7"
"207940","삼성바이오로직스","320000","5000","1.59","2.11728E7"
"017670","SK텔레콤","259000","1500","0.58","2.0913139E7"
"051900","LG생활건강","1313000","-6000","-0.45","2.0506693E7"
"105560","KB금융","45850","100","0.22","1.9170414E7"
"035420","NAVER","114000","-1000","-0.87","1.8788727E7"
"028260","삼성물산","95700","-700","-0.73","1.8153337E7"
"000270","기아차","44000","150","0.34","1.7835987E7"
"032830","삼성생명","83600","-400","-0.48","1.672E7"
"018260","삼성에스디에스","215000","-1000","-0.46","1.6636227E7"
"015760","한국전력","25550","-100","-0.39","1.6402182E7"
"034730","SK","232000","-2000","-0.85","1.6323589E7"
"006400","삼성SDI","236500","-1000","-0.42","1.6262811E7"
"096770","SK이노베이션","159000","-1500","-0.93","1.4702025E7"
"033780","KT&G","98500","-400","-0.40","1.3523311E7"
"003550","LG","76900","-400","-0.52","1.3269643E7"
"066570","LG전자","79300","-400","-0.50","1.2977272E7"
"000810","삼성화재","268000","-2500","-0.92","1.2696456E7"
"086790","하나금융지주","37400","0","0.00","1.1229053E7"
"035720","카카오","131500","0","0.00","1.0972672E7"
"036570","엔씨소프트","477000","-4000","-0.83","1.0468491E7"
"090430","아모레퍼시픽","164500","-1500","-0.90","9616422.0"
"251270","넷마블","113000","-9500","-7.76","9683363.0"
"316140","우리금융지주","14050","-50","-0.35","9556308.0"
"010950","S-Oil","83700","-300","-0.36","9423180.0"
"010130","고려아연","476000","6000","1.28","8982120.0"
"011170","롯데케미칼","252500","-6000","-2.32","8654543.0"
"009540","한국조선해양","118500","-2000","-1.66","8386614.0"
"024110","기업은행","14050","0","0.00","8077969.0"
"030200","KT","28350","250","0.89","7402520.0"
"009150","삼성전기","97800","-100","-0.10","7305043.0"
"035250","강원랜드","30250","-450","-1.47","6471700.0"
"034220","LG디스플레이","17850","100","0.56","6387010.0"
"032640","LG유플러스","14500","-150","-1.02","6330865.0"
"018880","한온시스템","11650","-50","-0.43","6218770.0"
"086280","현대글로비스","161000","-2500","-1.53","6037500.0"
"000720","현대건설","53600","-600","-1.11","5968669.0"
"021240","웅진코웨이","77400","-6500","-7.75","5712091.0"
"004020","현대제철","41800","-500","-1.18","5578034.0"
"006800","미래에셋대우","8180","-100","-1.21","5385028.0"
"267250","현대중공업지주","324000","2000","0.62","5276864.0"
"010140","삼성중공업","8160","-10","-0.12","5140800.0"
"002790","아모레G","62300","400","0.65","5137145.0"
"078930","GS","51200","-300","-0.58","4757267.0"
"004990","롯데지주","44000","-350","-0.79","4616006.0"
"128940","한미약품","404000","-7000","-1.70","4691322.0"
"081660","휠라코리아","76700","700","0.92","4687526.0"
"023530","롯데쇼핑","160500","0","0.00","4540345.0"
"097950","CJ제일제당","297000","-1000","-0.34","4471093.0"
"071050","한국금융지주","80700","-1100","-1.34","4497088.0"
"008930","한미사이언스","68200","-1600","-2.29","4415463.0"
"161390","한국타이어앤테크놀로지","35100","-600","-1.68","4348015.0"
"029780","삼성카드","38200","-450","-1.16","4425810.0"
"005830","DB손해보험","59300","-400","-0.67","4198440.0"
"005940","NH투자증권","14500","-250","-1.69","4080429.0"
"000210","대림산업","115000","-3000","-2.54","4002000.0"
"139480","이마트","140000","-2000","-1.41","3902615.0"
"036460","한국가스공사","42200","-250","-0.59","3895609.0"
"008770","호텔신라","97000","-1000","-1.02","3807068.0"
"009830","한화케미칼","22700","550","2.48","3665580.0"
"012750","에스원","97600","-2300","-2.30","3708720.0"
"282330","BGF리테일","211000","4500","2.18","3646904.0"
"271560","오리온","92500","500","0.54","3657092.0"
"241560","두산밥캣","36400","-400","-1.09","3649070.0"
"016360","삼성증권","39100","-200","-0.51","3491630.0"
"047810","한국항공우주","35950","0","0.00","3504230.0"
"042660","대우조선해양","32700","50","0.15","3505628.0"
"030000","제일기획","29400","600","2.08","3382212.0"
"028050","삼성엔지니어링","17150","50","0.29","3361400.0"
"008560","메리츠종금증권","5360","-150","-2.72","3280312.0"
"000100","유한양행","244500","5000","2.09","3124005.0"
"006360","GS건설","40350","-200","-0.49","3223549.0"
"003410","쌍용양회","6300","-40","-0.63","3174315.0"
"007070","GS리테일","39300","-200","-0.51","3026100.0"
"000120","CJ대한통운","134500","2000","1.51","3068260.0"
